# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 5.9057e+04
1.4726e-02 4.2189e+04
2.0945e-02 4.3905e+04
2.7184e-02 3.3337e+04
3.3546e-02 3.8219e+04
3.9530e-02 2.9590e+04
4.5671e-02 2.6275e+04
5.1900e-02 2.3539e+04
5.8100e-02 2.2469e+04
6.4221e-02 2.1402e+04
7.0280e-02 1.7455e+04
7.6510e-02 1.7701e+04
8.2770e-02 1.4772e+04
8.8836e-02 1.3711e+04
9.4930e-02 1.2186e+04
1.0109e-01 1.1320e+04
1.0723e-01 1.0365e+04
1.1335e-01 9.4141e+03
1.1950e-01 9.1645e+03
1.2570e-01 8.6243e+03
1.3182e-01 8.1636e+03
1.3789e-01 7.7741e+03
1.4406e-01 7.6146e+03
1.5021e-01 6.7562e+03
1.5636e-01 6.4967e+03
1.6252e-01 6.1059e+03
1.6868e-01 5.7775e+03
1.7479e-01 5.6008e+03
1.8090e-01 5.2837e+03
1.8700e-01 4.9856e+03
1.9316e-01 4.9747e+03
1.9936e-01 4.6693e+03
2.0552e-01 4.5867e+03
2.1163e-01 4.3473e+03
2.1775e-01 4.2161e+03
2.2390e-01 3.9488e+03
2.3000e-01 3.9313e+03
2.3612e-01 3.7916e+03
2.4227e-01 3.6280e+03
2.4839e-01 3.5926e+03
2.5453e-01 3.4738e+03
2.6068e-01 3.3611e+03
2.6684e-01 3.1980e+03
2.7301e-01 3.1117e+03
2.7915e-01 3.0795e+03
2.8527e-01 2.9754e+03
2.9138e-01 2.8974e+03
2.9750e-01 2.7780e+03
3.0365e-01 2.7113e+03
3.0980e-01 2.6268e+03
3.1595e-01 2.5822e+03
3.2209e-01 2.5260e+03
3.2824e-01 2.5088e+03
3.3438e-01 2.4274e+03
3.4050e-01 2.3452e+03
3.4662e-01 2.3282e+03
3.5273e-01 2.2676e+03
3.5887e-01 2.2407e+03
3.6500e-01 2.1881e+03
3.7117e-01 2.1714e+03
3.7731e-01 2.0830e+03
3.8345e-01 2.0544e+03
3.8961e-01 2.0055e+03
3.9572e-01 1.9597e+03
4.0187e-01 1.9046e+03
4.0800e-01 1.8735e+03
4.1410e-01 1.8581e+03
4.2026e-01 1.8178e+03
4.2641e-01 1.7877e+03
4.3254e-01 1.7466e+03
4.3865e-01 1.7167e+03
4.4477e-01 1.7211e+03
4.5094e-01 1.6768e+03
4.5710e-01 1.6368e+03
4.6323e-01 1.6079e+03
4.6938e-01 1.5808e+03
4.7550e-01 1.5637e+03
4.8162e-01 1.5164e+03
4.8775e-01 1.4905e+03
4.9386e-01 1.4692e+03
4.9999e-01 1.4510e+03
5.0618e-01 1.4304e+03
5.1233e-01 1.4168e+03
5.1844e-01 1.3735e+03
5.2458e-01 1.3533e+03
5.3072e-01 1.3489e+03
5.3686e-01 1.3211e+03
5.4298e-01 1.3156e+03
5.4912e-01 1.2827e+03
5.5528e-01 1.2540e+03
