# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 1.8942e+05
1.4726e-02 1.6185e+05
2.0945e-02 1.4659e+05
2.7184e-02 1.2871e+05
3.3546e-02 1.4213e+05
3.9530e-02 1.2401e+05
4.5671e-02 1.0411e+05
5.1900e-02 1.0681e+05
5.8100e-02 9.7688e+04
6.4221e-02 9.6193e+04
7.0280e-02 8.3027e+04
7.6510e-02 8.3880e+04
8.2770e-02 7.6486e+04
8.8836e-02 7.1843e+04
9.4930e-02 6.5591e+04
1.0109e-01 6.5536e+04
1.0723e-01 6.1652e+04
1.1335e-01 5.8416e+04
1.1950e-01 5.8044e+04
1.2570e-01 5.6257e+04
1.3182e-01 5.5074e+04
1.3789e-01 5.3598e+04
1.4406e-01 5.2927e+04
1.5021e-01 5.0395e+04
1.5636e-01 4.9130e+04
1.6252e-01 4.7996e+04
1.6868e-01 4.6358e+04
1.7479e-01 4.6594e+04
1.8090e-01 4.4320e+04
1.8700e-01 4.3210e+04
1.9316e-01 4.4396e+04
1.9936e-01 4.2747e+04
2.0552e-01 4.3199e+04
2.1163e-01 4.0977e+04
2.1775e-01 3.9893e+04
2.2390e-01 3.8804e+04
2.3000e-01 3.9548e+04
2.3612e-01 3.8220e+04
2.4227e-01 3.7685e+04
2.4839e-01 3.7899e+04
2.5453e-01 3.6890e+04
2.6068e-01 3.6408e+04
2.6684e-01 3.6242e+04
2.7301e-01 3.5887e+04
2.7915e-01 3.5230e+04
2.8527e-01 3.5106e+04
2.9138e-01 3.4133e+04
2.9750e-01 3.4282e+04
3.0365e-01 3.3561e+04
3.0980e-01 3.3307e+04
3.1595e-01 3.3320e+04
3.2209e-01 3.2901e+04
3.2824e-01 3.2470e+04
3.3438e-01 3.1964e+04
3.4050e-01 3.1698e+04
3.4662e-01 3.1688e+04
3.5273e-01 3.1496e+04
3.5887e-01 3.1287e+04
3.6500e-01 3.0243e+04
3.7117e-01 3.0592e+04
3.7731e-01 2.9698e+04
3.8345e-01 2.9684e+04
3.8961e-01 2.9579e+04
3.9572e-01 2.9100e+04
4.0187e-01 2.9079e+04
4.0800e-01 2.8647e+04
4.1410e-01 2.8281e+04
4.2026e-01 2.8140e+04
4.2641e-01 2.7838e+04
4.3254e-01 2.7472e+04
4.3865e-01 2.7581e+04
4.4477e-01 2.7111e+04
4.5094e-01 2.7169e+04
4.5710e-01 2.7060e+04
4.6323e-01 2.6747e+04
4.6938e-01 2.6216e+04
4.7550e-01 2.6257e+04
4.8162e-01 2.6087e+04
4.8775e-01 2.5546e+04
4.9386e-01 2.5824e+04
4.9999e-01 2.5266e+04
5.0618e-01 2.5117e+04
5.1233e-01 2.5083e+04
5.1844e-01 2.4692e+04
5.2458e-01 2.4402e+04
5.3072e-01 2.4435e+04
5.3686e-01 2.3976e+04
5.4298e-01 2.3886e+04
5.4912e-01 2.3742e+04
5.5528e-01 2.3458e+04
5.6141e-01 2.3459e+04
5.6753e-01 2.3108e+04
5.7368e-01 2.2976e+04
5.7982e-01 2.2825e+04
5.8594e-01 2.2544e+04
5.9206e-01 2.2576e+04
5.9819e-01 2.2323e+04
6.0437e-01 2.2092e+04
6.1051e-01 2.1883e+04
6.1661e-01 2.1896e+04
6.2276e-01 2.1632e+04
6.2889e-01 2.1285e+04
6.3503e-01 2.1341e+04
6.4119e-01 2.1095e+04
6.4732e-01 2.0863e+04
6.5344e-01 2.0794e+04
6.5958e-01 2.0530e+04
6.6571e-01 2.0309e+04
6.7184e-01 2.0236e+04
6.7798e-01 1.9999e+04
6.8410e-01 1.9903e+04
6.9025e-01 1.9806e+04
6.9639e-01 1.9661e+04
7.0254e-01 1.9521e+04
7.0869e-01 1.9254e+04
7.1481e-01 1.9090e+04
7.2095e-01 1.8985e+04
7.2708e-01 1.8681e+04
7.3319e-01 1.8745e+04
7.3934e-01 1.8548e+04
7.4549e-01 1.8354e+04
7.5162e-01 1.8113e+04
7.5776e-01 1.8127e+04
7.6390e-01 1.7853e+04
7.7006e-01 1.7742e+04
7.7618e-01 1.7582e+04
7.8228e-01 1.7458e+04
7.8841e-01 1.7309e+04
7.9456e-01 1.7218e+04
8.0071e-01 1.6904e+04
8.0684e-01 1.6777e+04
8.1299e-01 1.6723e+04
8.1915e-01 1.6582e+04
8.2526e-01 1.6397e+04
8.3138e-01 1.6294e+04
8.3753e-01 1.6134e+04
8.4366e-01 1.5967e+04
8.4979e-01 1.5938e+04
8.5592e-01 1.5714e+04
8.6206e-01 1.5615e+04
8.6820e-01 1.5476e+04
8.7433e-01 1.5247e+04
8.8047e-01 1.5180e+04
8.8661e-01 1.4999e+04
8.9275e-01 1.4911e+04
8.9891e-01 1.4923e+04
9.0504e-01 1.4714e+04
9.1117e-01 1.4535e+04
9.1731e-01 1.4310e+04
9.2344e-01 1.4281e+04
9.2956e-01 1.4148e+04
9.3569e-01 1.4043e+04
9.4184e-01 1.3931e+04
9.4799e-01 1.3791e+04
9.5411e-01 1.3672e+04
9.6024e-01 1.3457e+04
9.6637e-01 1.3411e+04
9.7252e-01 1.3289e+04
9.7866e-01 1.3190e+04
9.8477e-01 1.3115e+04
9.9092e-01 1.2884e+04
9.9706e-01 1.2842e+04
1.0032e+00 1.2717e+04
1.0093e+00 1.2596e+04
1.0155e+00 1.2471e+04
1.0216e+00 1.2353e+04
1.0277e+00 1.2213e+04
1.0339e+00 1.2141e+04
1.0400e+00 1.2001e+04
1.0462e+00 1.1877e+04
1.0523e+00 1.1829e+04
1.0584e+00 1.1690e+04
1.0646e+00 1.1570e+04
1.0707e+00 1.1449e+04
1.0768e+00 1.1404e+04
1.0830e+00 1.1234e+04
1.0891e+00 1.1136e+04
1.0952e+00 1.1051e+04
1.1014e+00 1.0935e+04
1.1075e+00 1.0860e+04
1.1136e+00 1.0752e+04
1.1198e+00 1.0661e+04
1.1259e+00 1.0540e+04
1.1321e+00 1.0443e+04
1.1382e+00 1.0365e+04
1.1443e+00 1.0240e+04
1.1505e+00 1.0108e+04
1.1566e+00 1.0038e+04
1.1627e+00 9.9535e+03
1.1689e+00 9.8626e+03
1.1750e+00 9.7605e+03
1.1811e+00 9.6667e+03
1.1873e+00 9.5615e+03
1.1934e+00 9.5115e+03
1.1996e+00 9.3741e+03
1.2057e+00 9.2834e+03
1.2118e+00 9.2225e+03
1.2180e+00 9.1694e+03
1.2241e+00 9.0368e+03
1.2302e+00 9.0103e+03
1.2364e+00 8.9058e+03
1.2425e+00 8.7899e+03
1.2486e+00 8.7089e+03
1.2548e+00 8.6352e+03
1.2609e+00 8.5805e+03
1.2671e+00 8.4694e+03
1.2732e+00 8.3930e+03
1.2793e+00 8.3081e+03
1.2855e+00 8.2561e+03
1.2916e+00 8.1576e+03
1.2977e+00 8.0708e+03
1.3039e+00 7.9980e+03
1.3100e+00 7.9421e+03
1.3161e+00 7.8362e+03
1.3223e+00 7.7472e+03
1.3284e+00 7.7094e+03
1.3345e+00 7.6375e+03
1.3407e+00 7.5542e+03
1.3468e+00 7.4894e+03
1.3529e+00 7.4392e+03
1.3591e+00 7.3632e+03
1.3652e+00 7.2994e+03
1.3714e+00 7.2403e+03
1.3775e+00 7.1588e+03
1.3836e+00 7.1134e+03
1.3898e+00 7.0280e+03
1.3959e+00 6.9745e+03
1.4020e+00 6.9227e+03
1.4082e+00 6.8631e+03
1.4143e+00 6.7970e+03
1.4205e+00 6.7216e+03
1.4266e+00 6.6618e+03
1.4327e+00 6.5996e+03
1.4389e+00 6.5712e+03
1.4450e+00 6.5037e+03
1.4511e+00 6.4446e+03
1.4573e+00 6.3989e+03
1.4634e+00 6.3281e+03
1.4695e+00 6.2897e+03
1.4757e+00 6.2219e+03
1.4818e+00 6.1753e+03
1.4879e+00 6.1307e+03
1.4941e+00 6.0806e+03
1.5002e+00 6.0291e+03
