# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 2.2110e+04 1.1120e+04
1.0472e-02 3.0732e+04 1.5224e+04
1.4266e-02 4.0336e+04 2.1016e+04
1.8123e-02 3.8386e+04 1.9310e+04
2.2484e-02 3.3740e+04 1.6754e+04
2.6451e-02 3.1972e+04 1.5964e+04
3.0447e-02 2.7179e+04 1.3448e+04
3.4732e-02 2.3987e+04 1.1834e+04
3.8831e-02 2.3338e+04 1.1538e+04
4.2814e-02 2.1673e+04 1.0643e+04
4.6886e-02 2.0870e+04 1.0255e+04
5.0986e-02 1.9005e+04 9.2007e+03
5.5146e-02 1.7936e+04 8.7320e+03
5.9224e-02 1.6786e+04 8.1289e+03
6.3286e-02 1.5930e+04 7.7176e+03
6.7367e-02 1.5143e+04 7.2459e+03
7.1496e-02 1.4851e+04 7.1282e+03
7.5589e-02 1.3840e+04 6.5812e+03
7.9666e-02 1.2760e+04 6.0544e+03
8.3818e-02 1.2152e+04 5.7661e+03
8.7894e-02 1.1255e+04 5.2972e+03
9.1924e-02 1.0017e+04 4.6815e+03
9.6045e-02 9.5817e+03 4.4548e+03
1.0013e-01 9.2434e+03 4.2564e+03
1.0421e-01 8.5867e+03 3.9450e+03
1.0833e-01 7.9972e+03 3.6624e+03
1.1245e-01 8.0156e+03 3.6514e+03
1.1652e-01 7.7513e+03 3.5222e+03
1.2060e-01 7.5364e+03 3.4072e+03
1.2466e-01 7.0489e+03 3.1855e+03
1.2877e-01 7.2944e+03 3.2686e+03
1.3287e-01 6.9482e+03 3.0972e+03
1.3698e-01 6.6095e+03 2.9520e+03
1.4107e-01 6.4662e+03 2.8555e+03
1.4517e-01 6.0338e+03 2.6599e+03
1.4927e-01 5.7226e+03 2.4923e+03
1.5333e-01 5.5823e+03 2.4174e+03
1.5742e-01 5.3048e+03 2.2766e+03
1.6151e-01 5.2270e+03 2.2227e+03
1.6559e-01 4.9642e+03 2.1119e+03
1.6969e-01 4.7749e+03 2.0038e+03
1.7380e-01 4.6436e+03 1.9440e+03
1.7790e-01 4.5541e+03 1.9023e+03
1.8200e-01 4.4444e+03 1.8555e+03
1.8609e-01 4.4163e+03 1.8211e+03
1.9016e-01 4.2942e+03 1.7752e+03
1.9424e-01 4.1245e+03 1.6884e+03
1.9833e-01 4.0627e+03 1.6537e+03
2.0243e-01 4.0093e+03 1.6247e+03
2.0652e-01 3.8675e+03 1.5599e+03
2.1063e-01 3.7799e+03 1.5100e+03
2.1472e-01 3.6915e+03 1.4638e+03
2.1883e-01 3.5615e+03 1.4107e+03
2.2290e-01 3.4881e+03 1.3665e+03
2.2699e-01 3.4031e+03 1.3298e+03
2.3108e-01 3.3537e+03 1.3028e+03
2.3515e-01 3.2600e+03 1.2536e+03
2.3924e-01 3.2221e+03 1.2349e+03
2.4334e-01 3.1741e+03 1.2109e+03
2.4744e-01 3.1284e+03 1.1834e+03
2.5154e-01 3.0420e+03 1.1473e+03
2.5561e-01 3.0249e+03 1.1322e+03
2.5972e-01 2.9820e+03 1.1129e+03
2.6381e-01 2.9375e+03 1.0909e+03
2.6790e-01 2.8682e+03 1.0602e+03
2.7199e-01 2.8290e+03 1.0352e+03
2.7607e-01 2.7891e+03 1.0157e+03
2.8017e-01 2.7318e+03 9.9078e+02
2.8427e-01 2.6647e+03 9.6243e+02
2.8835e-01 2.6152e+03 9.3830e+02
2.9243e-01 2.5841e+03 9.2226e+02
2.9651e-01 2.5495e+03 9.0388e+02
3.0063e-01 2.5192e+03 8.8626e+02
3.0473e-01 2.5060e+03 8.8017e+02
3.0882e-01 2.4493e+03 8.5561e+02
3.1292e-01 2.4515e+03 8.4869e+02
3.1700e-01 2.3807e+03 8.2183e+02
3.2108e-01 2.3832e+03 8.1656e+02
3.2517e-01 2.3365e+03 7.9725e+02
3.2925e-01 2.3004e+03 7.8023e+02
3.3333e-01 2.2793e+03 7.6916e+02
3.3744e-01 2.2577e+03 7.5777e+02
3.4154e-01 2.2202e+03 7.4408e+02
3.4562e-01 2.1859e+03 7.2515e+02
3.4972e-01 2.1828e+03 7.2244e+02
3.5382e-01 2.1406e+03 7.0624e+02
3.5791e-01 2.1114e+03 6.9423e+02
3.6198e-01 2.1022e+03 6.8543e+02
3.6607e-01 2.0792e+03 6.7652e+02
3.7019e-01 2.0519e+03 6.6024e+02
3.7428e-01 2.0304e+03 6.5239e+02
3.7836e-01 2.0135e+03 6.4176e+02
3.8245e-01 1.9893e+03 6.3426e+02
3.8653e-01 1.9687e+03 6.2241e+02
3.9062e-01 1.9427e+03 6.1010e+02
3.9471e-01 1.9320e+03 6.0597e+02
3.9879e-01 1.9246e+03 5.9891e+02
4.0290e-01 1.8887e+03 5.8580e+02
4.0699e-01 1.8848e+03 5.8199e+02
4.1107e-01 1.8547e+03 5.6887e+02
4.1517e-01 1.8525e+03 5.6704e+02
4.1926e-01 1.8305e+03 5.5616e+02
4.2335e-01 1.8176e+03 5.4953e+02
4.2745e-01 1.7961e+03 5.4118e+02
4.3153e-01 1.7879e+03 5.3698e+02
4.3562e-01 1.7564e+03 5.2437e+02
4.3972e-01 1.7702e+03 5.2729e+02
4.4380e-01 1.7452e+03 5.1640e+02
4.4789e-01 1.7371e+03 5.1265e+02
4.5198e-01 1.7120e+03 5.0149e+02
4.5607e-01 1.7027e+03 4.9760e+02
4.6017e-01 1.6831e+03 4.9068e+02
4.6426e-01 1.6834e+03 4.8703e+02
4.6835e-01 1.6621e+03 4.7973e+02
4.7245e-01 1.6496e+03 4.7431e+02
4.7654e-01 1.6433e+03 4.6891e+02
4.8063e-01 1.6226e+03 4.6297e+02
4.8472e-01 1.6233e+03 4.6056e+02
4.8879e-01 1.6088e+03 4.5220e+02
4.9289e-01 1.6049e+03 4.4998e+02
4.9698e-01 1.5897e+03 4.4560e+02
5.0107e-01 1.5746e+03 4.3933e+02
5.0517e-01 1.5706e+03 4.3490e+02
5.0927e-01 1.5610e+03 4.3116e+02
5.1337e-01 1.5448e+03 4.2475e+02
5.1744e-01 1.5475e+03 4.2399e+02
5.2152e-01 1.5181e+03 4.1505e+02
5.2561e-01 1.5143e+03 4.1116e+02
5.2971e-01 1.5098e+03 4.0872e+02
5.3380e-01 1.5012e+03 4.0545e+02
5.3789e-01 1.4931e+03 4.0137e+02
5.4199e-01 1.4915e+03 3.9861e+02
5.4609e-01 1.4765e+03 3.9424e+02
5.5017e-01 1.4654e+03 3.8871e+02
5.5425e-01 1.4670e+03 3.8797e+02
5.5835e-01 1.4516e+03 3.8269e+02
5.6244e-01 1.4451e+03 3.7777e+02
5.6653e-01 1.4403e+03 3.7609e+02
5.7062e-01 1.4230e+03 3.6978e+02
5.7471e-01 1.4145e+03 3.6669e+02
5.7880e-01 1.4111e+03 3.6532e+02
5.8288e-01 1.4081e+03 3.6301e+02
5.8698e-01 1.3934e+03 3.5751e+02
5.9107e-01 1.3888e+03 3.5519e+02
5.9517e-01 1.3920e+03 3.5519e+02
5.9926e-01 1.3855e+03 3.5118e+02
6.0335e-01 1.3852e+03 3.5053e+02
6.0745e-01 1.3682e+03 3.4395e+02
6.1154e-01 1.3581e+03 3.4107e+02
6.1562e-01 1.3569e+03 3.3909e+02
6.1970e-01 1.3498e+03 3.3637e+02
6.2379e-01 1.3471e+03 3.3395e+02
6.2789e-01 1.3387e+03 3.3100e+02
6.3199e-01 1.3306e+03 3.2793e+02
6.3607e-01 1.3211e+03 3.2462e+02
6.4016e-01 1.3163e+03 3.2232e+02
6.4424e-01 1.3136e+03 3.2095e+02
6.4834e-01 1.3035e+03 3.1751e+02
6.5243e-01 1.3049e+03 3.1712e+02
6.5651e-01 1.2994e+03 3.1435e+02
6.6061e-01 1.2930e+03 3.1164e+02
6.6471e-01 1.2803e+03 3.0725e+02
6.6880e-01 1.2882e+03 3.0839e+02
6.7289e-01 1.2805e+03 3.0576e+02
6.7698e-01 1.2698e+03 3.0126e+02
6.8107e-01 1.2647e+03 2.9975e+02
6.8516e-01 1.2577e+03 2.9720e+02
6.8925e-01 1.2521e+03 2.9419e+02
6.9334e-01 1.2507e+03 2.9396e+02
6.9743e-01 1.2461e+03 2.9191e+02
7.0153e-01 1.2419e+03 2.8977e+02
7.0562e-01 1.2339e+03 2.8656e+02
7.0971e-01 1.2311e+03 2.8559e+02
7.1380e-01 1.2296e+03 2.8404e+02
7.1789e-01 1.2288e+03 2.8333e+02
7.2198e-01 1.2182e+03 2.7945e+02
7.2606e-01 1.2153e+03 2.7862e+02
7.3015e-01 1.2078e+03 2.7617e+02
7.3424e-01 1.2078e+03 2.7486e+02
7.3834e-01 1.1991e+03 2.7282e+02
7.4243e-01 1.1981e+03 2.7128e+02
7.4651e-01 1.1931e+03 2.6960e+02
7.5061e-01 1.1884e+03 2.6659e+02
7.5471e-01 1.1822e+03 2.6488e+02
7.5879e-01 1.1826e+03 2.6447e+02
7.6289e-01 1.1757e+03 2.6231e+02
7.6699e-01 1.1724e+03 2.6062e+02
7.7107e-01 1.1684e+03 2.5935e+02
7.7515e-01 1.1681e+03 2.5848e+02
7.7924e-01 1.1609e+03 2.5602e+02
7.8334e-01 1.1596e+03 2.5509e+02
7.8743e-01 1.1554e+03 2.5313e+02
7.9151e-01 1.1512e+03 2.5104e+02
7.9561e-01 1.1473e+03 2.5043e+02
7.9970e-01 1.1444e+03 2.4875e+02
8.0380e-01 1.1410e+03 2.4750e+02
8.0788e-01 1.1353e+03 2.4554e+02
8.1196e-01 1.1335e+03 2.4384e+02
8.1606e-01 1.1304e+03 2.4286e+02
8.2015e-01 1.1299e+03 2.4205e+02
8.2424e-01 1.1241e+03 2.4052e+02
8.2833e-01 1.1209e+03 2.3883e+02
