# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 3.0250e+04 1.4211e+04
1.0472e-02 3.2508e+04 1.5579e+04
1.4266e-02 3.9306e+04 1.8948e+04
1.8123e-02 3.1893e+04 1.5764e+04
2.2484e-02 3.3382e+04 1.6559e+04
2.6451e-02 2.9600e+04 1.4665e+04
3.0447e-02 2.9241e+04 1.4552e+04
3.4732e-02 2.4547e+04 1.2344e+04
3.8831e-02 2.2715e+04 1.1393e+04
4.2814e-02 2.1132e+04 1.0618e+04
4.6886e-02 1.8008e+04 8.9641e+03
5.0986e-02 1.6837e+04 8.4265e+03
5.5146e-02 1.7311e+04 8.6396e+03
5.9224e-02 1.6263e+04 8.1276e+03
6.3286e-02 1.5210e+04 7.5779e+03
6.7367e-02 1.4868e+04 7.3645e+03
7.1496e-02 1.3945e+04 6.8653e+03
7.5589e-02 1.2980e+04 6.3417e+03
7.9666e-02 1.2511e+04 6.1268e+03
8.3818e-02 1.1079e+04 5.3778e+03
8.7894e-02 1.0752e+04 5.1659e+03
9.1924e-02 9.8032e+03 4.6976e+03
9.6045e-02 9.2454e+03 4.4244e+03
1.0013e-01 8.6923e+03 4.1091e+03
1.0421e-01 7.9290e+03 3.7233e+03
1.0833e-01 7.6763e+03 3.6060e+03
1.1245e-01 7.6281e+03 3.5578e+03
1.1652e-01 7.3300e+03 3.4208e+03
1.2060e-01 6.9671e+03 3.2374e+03
1.2466e-01 6.9091e+03 3.1895e+03
1.2877e-01 6.8064e+03 3.1503e+03
1.3287e-01 6.5153e+03 2.9860e+03
1.3698e-01 6.4139e+03 2.9230e+03
1.4107e-01 6.0519e+03 2.7515e+03
1.4517e-01 5.6455e+03 2.5488e+03
1.4927e-01 5.4162e+03 2.4228e+03
1.5333e-01 5.2958e+03 2.3492e+03
1.5742e-01 4.9340e+03 2.1744e+03
1.6151e-01 4.7774e+03 2.0836e+03
1.6559e-01 4.6422e+03 2.0367e+03
1.6969e-01 4.4641e+03 1.9272e+03
1.7380e-01 4.3832e+03 1.8920e+03
1.7790e-01 4.2897e+03 1.8457e+03
1.8200e-01 4.1604e+03 1.7784e+03
1.8609e-01 4.1309e+03 1.7600e+03
1.9016e-01 4.0225e+03 1.6953e+03
1.9424e-01 3.9829e+03 1.6715e+03
1.9833e-01 3.8193e+03 1.5990e+03
2.0243e-01 3.7548e+03 1.5595e+03
2.0652e-01 3.6519e+03 1.5128e+03
2.1063e-01 3.5366e+03 1.4537e+03
2.1472e-01 3.4331e+03 1.4024e+03
2.1883e-01 3.3388e+03 1.3537e+03
2.2290e-01 3.2958e+03 1.3286e+03
2.2699e-01 3.2260e+03 1.2921e+03
2.3108e-01 3.1370e+03 1.2571e+03
2.3515e-01 3.0891e+03 1.2238e+03
2.3924e-01 3.0048e+03 1.1758e+03
2.4334e-01 2.9809e+03 1.1701e+03
2.4744e-01 2.9595e+03 1.1502e+03
2.5154e-01 2.9123e+03 1.1295e+03
2.5561e-01 2.8025e+03 1.0792e+03
2.5972e-01 2.7912e+03 1.0741e+03
2.6381e-01 2.7445e+03 1.0448e+03
2.6790e-01 2.6575e+03 1.0098e+03
2.7199e-01 2.6332e+03 9.9441e+02
2.7607e-01 2.6095e+03 9.7516e+02
2.8017e-01 2.5534e+03 9.5048e+02
2.8427e-01 2.4821e+03 9.1965e+02
2.8835e-01 2.4776e+03 9.1209e+02
2.9243e-01 2.4343e+03 8.9070e+02
2.9651e-01 2.3963e+03 8.7154e+02
3.0063e-01 2.3741e+03 8.5921e+02
3.0473e-01 2.3064e+03 8.3102e+02
3.0882e-01 2.2742e+03 8.1620e+02
3.1292e-01 2.2672e+03 8.0727e+02
3.1700e-01 2.2198e+03 7.9175e+02
3.2108e-01 2.1941e+03 7.7435e+02
3.2517e-01 2.1824e+03 7.6414e+02
3.2925e-01 2.1673e+03 7.5681e+02
3.3333e-01 2.1102e+03 7.3303e+02
3.3744e-01 2.1038e+03 7.2474e+02
3.4154e-01 2.0667e+03 7.1051e+02
3.4562e-01 2.0447e+03 6.9837e+02
3.4972e-01 2.0159e+03 6.8611e+02
3.5382e-01 1.9879e+03 6.7242e+02
3.5791e-01 1.9790e+03 6.6560e+02
3.6198e-01 1.9578e+03 6.5560e+02
3.6607e-01 1.9410e+03 6.4550e+02
3.7019e-01 1.9241e+03 6.3609e+02
3.7428e-01 1.8842e+03 6.2397e+02
3.7836e-01 1.8793e+03 6.1638e+02
3.8245e-01 1.8449e+03 6.0165e+02
3.8653e-01 1.8226e+03 5.9342e+02
3.9062e-01 1.8125e+03 5.8647e+02
3.9471e-01 1.8020e+03 5.7948e+02
3.9879e-01 1.7891e+03 5.7247e+02
4.0290e-01 1.7669e+03 5.6375e+02
4.0699e-01 1.7579e+03 5.5679e+02
4.1107e-01 1.7397e+03 5.4845e+02
4.1517e-01 1.7261e+03 5.4159e+02
4.1926e-01 1.7076e+03 5.3297e+02
4.2335e-01 1.6928e+03 5.2673e+02
4.2745e-01 1.6894e+03 5.2399e+02
4.3153e-01 1.6538e+03 5.1048e+02
4.3562e-01 1.6577e+03 5.0916e+02
4.3972e-01 1.6356e+03 4.9914e+02
4.4380e-01 1.6327e+03 4.9357e+02
4.4789e-01 1.6041e+03 4.8531e+02
4.5198e-01 1.6074e+03 4.8326e+02
4.5607e-01 1.5806e+03 4.7469e+02
4.6017e-01 1.5680e+03 4.6741e+02
4.6426e-01 1.5699e+03 4.6684e+02
4.6835e-01 1.5470e+03 4.5689e+02
4.7245e-01 1.5371e+03 4.5256e+02
4.7654e-01 1.5264e+03 4.4615e+02
4.8063e-01 1.5139e+03 4.4094e+02
4.8472e-01 1.5168e+03 4.4034e+02
4.8879e-01 1.4994e+03 4.3365e+02
4.9289e-01 1.4791e+03 4.2683e+02
4.9698e-01 1.4882e+03 4.2574e+02
5.0107e-01 1.4623e+03 4.1738e+02
5.0517e-01 1.4613e+03 4.1546e+02
5.0927e-01 1.4519e+03 4.1028e+02
5.1337e-01 1.4427e+03 4.0596e+02
5.1744e-01 1.4313e+03 4.0109e+02
5.2152e-01 1.4259e+03 3.9850e+02
5.2561e-01 1.4130e+03 3.9277e+02
5.2971e-01 1.4046e+03 3.8930e+02
5.3380e-01 1.3955e+03 3.8539e+02
5.3789e-01 1.3913e+03 3.8225e+02
5.4199e-01 1.3836e+03 3.7844e+02
5.4609e-01 1.3783e+03 3.7525e+02
5.5017e-01 1.3606e+03 3.6895e+02
5.5425e-01 1.3614e+03 3.6852e+02
5.5835e-01 1.3408e+03 3.6182e+02
5.6244e-01 1.3437e+03 3.6068e+02
5.6653e-01 1.3319e+03 3.5655e+02
5.7062e-01 1.3280e+03 3.5304e+02
5.7471e-01 1.3220e+03 3.5085e+02
5.7880e-01 1.3186e+03 3.4883e+02
5.8288e-01 1.3048e+03 3.4312e+02
5.8698e-01 1.3013e+03 3.4186e+02
5.9107e-01 1.2938e+03 3.3838e+02
5.9517e-01 1.2958e+03 3.3707e+02
5.9926e-01 1.2805e+03 3.3211e+02
