# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 2.5828e+04 2.1445e+04
1.0472e-02 2.6315e+04 2.2866e+04
1.4266e-02 3.1805e+04 2.7779e+04
1.8123e-02 2.6808e+04 2.3629e+04
2.2484e-02 2.8979e+04 2.5193e+04
2.6451e-02 2.6838e+04 2.2719e+04
3.0447e-02 2.6255e+04 2.2448e+04
3.4732e-02 2.2630e+04 1.9307e+04
3.8831e-02 2.0803e+04 1.7749e+04
4.2814e-02 1.9452e+04 1.6586e+04
4.6886e-02 1.6577e+04 1.3982e+04
5.0986e-02 1.5502e+04 1.3136e+04
5.5146e-02 1.5923e+04 1.3430e+04
5.9224e-02 1.4965e+04 1.2656e+04
6.3286e-02 1.4198e+04 1.1894e+04
6.7367e-02 1.3510e+04 1.1367e+04
7.1496e-02 1.2636e+04 1.0571e+04
7.5589e-02 1.1839e+04 9.8411e+03
7.9666e-02 1.1337e+04 9.4422e+03
8.3818e-02 1.0082e+04 8.3478e+03
8.7894e-02 9.7017e+03 7.9985e+03
9.1924e-02 8.7851e+03 7.2558e+03
9.6045e-02 8.3932e+03 6.8766e+03
1.0013e-01 7.8054e+03 6.4005e+03
1.0421e-01 7.1923e+03 5.8535e+03
1.0833e-01 6.8893e+03 5.6103e+03
1.1245e-01 6.8875e+03 5.5580e+03
1.1652e-01 6.6280e+03 5.3733e+03
1.2060e-01 6.2046e+03 5.0123e+03
1.2466e-01 6.1611e+03 4.9587e+03
1.2877e-01 6.1500e+03 4.9236e+03
1.3287e-01 5.7570e+03 4.6169e+03
1.3698e-01 5.6066e+03 4.4993e+03
1.4107e-01 5.2560e+03 4.1919e+03
1.4517e-01 4.9771e+03 3.9669e+03
1.4927e-01 4.8214e+03 3.8090e+03
1.5333e-01 4.6224e+03 3.6570e+03
1.5742e-01 4.3576e+03 3.4208e+03
1.6151e-01 4.1838e+03 3.2823e+03
1.6559e-01 4.1964e+03 3.2842e+03
1.6969e-01 3.9622e+03 3.0832e+03
1.7380e-01 3.8914e+03 3.0297e+03
1.7790e-01 3.7826e+03 2.9432e+03
1.8200e-01 3.6306e+03 2.8314e+03
1.8609e-01 3.5870e+03 2.7836e+03
1.9016e-01 3.4472e+03 2.6597e+03
1.9424e-01 3.4264e+03 2.6248e+03
1.9833e-01 3.2873e+03 2.5181e+03
2.0243e-01 3.2446e+03 2.4800e+03
2.0652e-01 3.1223e+03 2.3912e+03
2.1063e-01 3.0697e+03 2.3266e+03
2.1472e-01 2.9657e+03 2.2519e+03
2.1883e-01 2.8718e+03 2.1803e+03
2.2290e-01 2.8237e+03 2.1371e+03
2.2699e-01 2.7654e+03 2.0925e+03
2.3108e-01 2.7048e+03 2.0382e+03
2.3515e-01 2.6591e+03 1.9993e+03
2.3924e-01 2.5443e+03 1.8984e+03
2.4334e-01 2.5606e+03 1.9194e+03
2.4744e-01 2.5076e+03 1.8660e+03
2.5154e-01 2.4756e+03 1.8468e+03
2.5561e-01 2.3844e+03 1.7638e+03
2.5972e-01 2.3558e+03 1.7451e+03
2.6381e-01 2.3237e+03 1.7117e+03
2.6790e-01 2.2548e+03 1.6536e+03
2.7199e-01 2.2145e+03 1.6251e+03
2.7607e-01 2.2057e+03 1.6150e+03
2.8017e-01 2.1549e+03 1.5702e+03
2.8427e-01 2.1088e+03 1.5335e+03
2.8835e-01 2.0608e+03 1.4956e+03
2.9243e-01 2.0368e+03 1.4794e+03
2.9651e-01 2.0274e+03 1.4661e+03
3.0063e-01 1.9809e+03 1.4280e+03
3.0473e-01 1.9533e+03 1.4046e+03
3.0882e-01 1.9195e+03 1.3733e+03
3.1292e-01 1.9021e+03 1.3596e+03
3.1700e-01 1.8747e+03 1.3367e+03
3.2108e-01 1.8519e+03 1.3157e+03
3.2517e-01 1.8122e+03 1.2860e+03
3.2925e-01 1.8001e+03 1.2770e+03
3.3333e-01 1.7579e+03 1.2428e+03
3.3744e-01 1.7461e+03 1.2267e+03
3.4154e-01 1.7233e+03 1.2114e+03
3.4562e-01 1.6953e+03 1.1864e+03
3.4972e-01 1.6825e+03 1.1793e+03
3.5382e-01 1.6572e+03 1.1561e+03
3.5791e-01 1.6479e+03 1.1457e+03
3.6198e-01 1.6243e+03 1.1314e+03
3.6607e-01 1.6151e+03 1.1172e+03
3.7019e-01 1.5845e+03 1.0951e+03
3.7428e-01 1.5638e+03 1.0809e+03
3.7836e-01 1.5429e+03 1.0615e+03
3.8245e-01 1.5288e+03 1.0523e+03
3.8653e-01 1.5060e+03 1.0335e+03
3.9062e-01 1.4982e+03 1.0228e+03
3.9471e-01 1.4938e+03 1.0175e+03
3.9879e-01 1.4661e+03 9.9951e+02
4.0290e-01 1.4532e+03 9.8739e+02
4.0699e-01 1.4403e+03 9.7364e+02
4.1107e-01 1.4281e+03 9.6505e+02
4.1517e-01 1.4035e+03 9.4465e+02
4.1926e-01 1.3934e+03 9.3726e+02
4.2335e-01 1.3913e+03 9.3390e+02
4.2745e-01 1.3855e+03 9.3033e+02
4.3153e-01 1.3598e+03 9.0702e+02
4.3562e-01 1.3619e+03 9.0592e+02
4.3972e-01 1.3404e+03 8.9308e+02
4.4380e-01 1.3269e+03 8.7963e+02
4.4789e-01 1.3161e+03 8.7113e+02
4.5198e-01 1.3014e+03 8.5998e+02
4.5607e-01 1.2905e+03 8.5023e+02
4.6017e-01 1.2854e+03 8.4482e+02
4.6426e-01 1.2714e+03 8.3240e+02
4.6835e-01 1.2703e+03 8.2786e+02
4.7245e-01 1.2534e+03 8.1658e+02
4.7654e-01 1.2360e+03 8.0544e+02
4.8063e-01 1.2432e+03 8.0628e+02
4.8472e-01 1.2266e+03 7.9647e+02
4.8879e-01 1.2208e+03 7.8833e+02
4.9289e-01 1.2010e+03 7.7720e+02
4.9698e-01 1.1978e+03 7.7352e+02
5.0107e-01 1.1895e+03 7.6444e+02
5.0517e-01 1.1849e+03 7.6029e+02
5.0927e-01 1.1785e+03 7.5423e+02
5.1337e-01 1.1635e+03 7.4570e+02
5.1744e-01 1.1600e+03 7.4014e+02
5.2152e-01 1.1518e+03 7.3179e+02
5.2561e-01 1.1419e+03 7.2432e+02
5.2971e-01 1.1430e+03 7.2489e+02
5.3380e-01 1.1235e+03 7.1103e+02
5.3789e-01 1.1155e+03 7.0392e+02
5.4199e-01 1.1184e+03 7.0301e+02
5.4609e-01 1.1044e+03 6.9407e+02
5.5017e-01 1.0952e+03 6.8559e+02
5.5425e-01 1.0936e+03 6.8654e+02
5.5835e-01 1.0831e+03 6.7504e+02
5.6244e-01 1.0836e+03 6.7581e+02
5.6653e-01 1.0776e+03 6.6924e+02
5.7062e-01 1.0682e+03 6.6245e+02
5.7471e-01 1.0664e+03 6.5799e+02
5.7880e-01 1.0581e+03 6.5200e+02
5.8288e-01 1.0527e+03 6.4773e+02
5.8698e-01 1.0474e+03 6.4352e+02
5.9107e-01 1.0385e+03 6.3711e+02
5.9517e-01 1.0376e+03 6.3512e+02
5.9926e-01 1.0270e+03 6.2749e+02
6.0335e-01 1.0277e+03 6.2594e+02
6.0745e-01 1.0232e+03 6.2322e+02
