# Galaxy (HOD) auto- and cross-power spectra.
# Robust average of 9 spectra using sqrt(1+x^2).
# z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79400e-03     2.37172e+04     4.23763e+03     1.22135e+04     1.42643e+03
    1.04720e-02     2.87138e+04     2.36045e+03     1.45442e+04     7.52257e+02
    1.42660e-02     3.37092e+04     1.50252e+03     1.72704e+04     7.47988e+02
    1.81230e-02     3.56602e+04     2.12354e+03     1.82985e+04     1.10422e+03
    2.24840e-02     3.29083e+04     5.34441e+02     1.67644e+04     3.21256e+02
    2.64510e-02     2.99395e+04     3.44693e+02     1.52303e+04     2.15621e+02
    3.04470e-02     2.79213e+04     8.14394e+02     1.41420e+04     3.95525e+02
    3.47320e-02     2.48204e+04     9.93764e+02     1.25530e+04     4.19526e+02
    3.88310e-02     2.22052e+04     4.52394e+02     1.11969e+04     2.07055e+02
    4.28140e-02     2.02744e+04     3.13251e+02     1.02175e+04     1.84233e+02
    4.68860e-02     1.87573e+04     4.39776e+02     9.39163e+03     1.83707e+02
    5.09860e-02     1.76701e+04     1.97430e+02     8.82433e+03     1.46380e+02
    5.51460e-02     1.66715e+04     2.41671e+02     8.30586e+03     1.06564e+02
    5.92240e-02     1.60997e+04     2.19844e+02     8.02212e+03     9.76824e+01
    6.32860e-02     1.52782e+04     1.56149e+02     7.58323e+03     5.74559e+01
    6.73670e-02     1.45331e+04     2.08592e+02     7.18696e+03     9.97566e+01
    7.14960e-02     1.37453e+04     1.67826e+02     6.76437e+03     7.74359e+01
    7.55890e-02     1.31113e+04     7.97657e+01     6.44553e+03     4.48918e+01
    7.96660e-02     1.22060e+04     1.58364e+02     5.96987e+03     7.75704e+01
    8.38180e-02     1.14581e+04     9.77486e+01     5.58227e+03     3.61440e+01
    8.78940e-02     1.05031e+04     1.15980e+02     5.08699e+03     4.20135e+01
    9.19240e-02     9.79085e+03     8.79494e+01     4.70717e+03     3.27864e+01
    9.60450e-02     9.13713e+03     5.02584e+01     4.36692e+03     3.18502e+01
    1.00130e-01     8.58865e+03     5.87125e+01     4.07849e+03     2.32990e+01
    1.04210e-01     8.10533e+03     6.55645e+01     3.81638e+03     4.47032e+01
    1.08330e-01     7.69105e+03     7.78702e+01     3.61519e+03     3.29472e+01
    1.12450e-01     7.50600e+03     6.01030e+01     3.51674e+03     2.31573e+01
    1.16520e-01     7.31055e+03     5.10971e+01     3.41210e+03     2.37453e+01
    1.20600e-01     7.00417e+03     4.94545e+01     3.25609e+03     2.02671e+01
    1.24660e-01     6.84392e+03     5.48251e+01     3.16056e+03     2.24561e+01
    1.28770e-01     6.73338e+03     4.56435e+01     3.10189e+03     1.90625e+01
    1.32870e-01     6.53621e+03     1.87579e+01     2.99985e+03     8.88791e+00
    1.36980e-01     6.25145e+03     2.66948e+01     2.86334e+03     2.10317e+01
    1.41070e-01     6.00660e+03     2.63803e+01     2.72566e+03     2.04842e+01
    1.45170e-01     5.70166e+03     4.04765e+01     2.57408e+03     1.57564e+01
    1.49270e-01     5.44124e+03     2.89814e+01     2.43301e+03     1.40783e+01
    1.53330e-01     5.23884e+03     3.70956e+00     2.32983e+03     3.75128e+00
    1.57420e-01     4.99686e+03     1.50946e+01     2.20965e+03     9.82798e+00
    1.61510e-01     4.78767e+03     2.62190e+01     2.10085e+03     1.44973e+01
    1.65590e-01     4.65160e+03     2.47441e+01     2.03318e+03     7.15952e+00
    1.69690e-01     4.48684e+03     1.35945e+01     1.94269e+03     4.12788e+00
    1.73800e-01     4.38111e+03     9.61655e+00     1.88753e+03     5.99303e+00
    1.77900e-01     4.29935e+03     1.23819e+01     1.84690e+03     2.98710e+00
    1.82000e-01     4.20170e+03     1.39576e+01     1.79817e+03     4.81881e+00
    1.86090e-01     4.10550e+03     1.32913e+01     1.74767e+03     3.93272e+00
    1.90160e-01     4.03197e+03     6.70553e+00     1.70830e+03     5.43446e+00
    1.94240e-01     3.93294e+03     2.15654e+01     1.65570e+03     8.84702e+00
    1.98330e-01     3.85059e+03     2.04618e+01     1.61001e+03     4.77545e+00
    2.02430e-01     3.75417e+03     1.08530e+01     1.56271e+03     6.10744e+00
    2.06520e-01     3.65587e+03     2.19419e+01     1.51427e+03     7.19053e+00
    2.10630e-01     3.55327e+03     1.33760e+01     1.46030e+03     3.41076e+00
    2.14720e-01     3.44758e+03     9.52590e+00     1.40934e+03     3.51973e+00
