# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.61000e+04     4.16368e+03     1.17144e+03
    1.04717e-02     2.85168e+04     7.16716e+03     1.94550e+03
    1.42665e-02     4.07170e+04     1.03194e+04     2.70352e+03
    1.81228e-02     3.37857e+04     8.80903e+03     2.40341e+03
    2.24845e-02     3.16241e+04     8.14168e+03     2.19653e+03
    2.64508e-02     3.21037e+04     8.14561e+03     2.17179e+03
    3.04474e-02     2.84287e+04     7.21326e+03     1.94547e+03
    3.47320e-02     2.62721e+04     6.63415e+03     1.77356e+03
    3.88308e-02     2.38164e+04     5.89179e+03     1.55620e+03
    4.28140e-02     2.12496e+04     5.27124e+03     1.40796e+03
    4.68856e-02     2.07889e+04     5.20881e+03     1.40522e+03
    5.09858e-02     2.00675e+04     4.90619e+03     1.30023e+03
    5.51458e-02     1.65788e+04     4.03357e+03     1.08350e+03
    5.92243e-02     1.83198e+04     4.46298e+03     1.18186e+03
    6.32864e-02     1.67496e+04     4.03055e+03     1.06636e+03
    6.73674e-02     1.59206e+04     3.82174e+03     1.01294e+03
    7.14960e-02     1.49618e+04     3.52513e+03     9.28932e+02
    7.55894e-02     1.46056e+04     3.43999e+03     9.07027e+02
    7.96660e-02     1.38933e+04     3.22257e+03     8.44686e+02
    8.38183e-02     1.25461e+04     2.90382e+03     7.68669e+02
    8.78941e-02     1.17358e+04     2.65365e+03     6.94923e+02
    9.19238e-02     1.11371e+04     2.54415e+03     6.72229e+02
    9.60446e-02     1.06769e+04     2.37782e+03     6.20444e+02
    1.00128e-01     9.57264e+03     2.12500e+03     5.60676e+02
    1.04209e-01     9.08492e+03     1.96450e+03     5.13576e+02
    1.08333e-01     8.63029e+03     1.85037e+03     4.83766e+02
    1.12448e-01     8.70218e+03     1.85707e+03     4.82689e+02
    1.16521e-01     8.24881e+03     1.74950e+03     4.57465e+02
    1.20596e-01     8.04758e+03     1.69982e+03     4.43422e+02
    1.24665e-01     7.87158e+03     1.63912e+03     4.26307e+02
    1.28771e-01     7.81842e+03     1.62213e+03     4.19717e+02
    1.32874e-01     7.63945e+03     1.57677e+03     4.07404e+02
    1.36975e-01     7.43367e+03     1.51730e+03     3.90491e+02
    1.41075e-01     6.92252e+03     1.39662e+03     3.60536e+02
    1.45172e-01     6.84133e+03     1.36090e+03     3.48922e+02
    1.49268e-01     6.48545e+03     1.26548e+03     3.22129e+02
    1.53330e-01     6.29260e+03     1.21325e+03     3.09393e+02
    1.57416e-01     6.01361e+03     1.15150e+03     2.96037e+02
    1.61514e-01     5.83838e+03     1.09594e+03     2.76625e+02
    1.65592e-01     5.52624e+03     1.02400e+03     2.61158e+02
    1.69693e-01     5.41510e+03     9.82651e+02     2.48181e+02
    1.73803e-01     5.32022e+03     9.63174e+02     2.43268e+02
    1.77905e-01     5.21425e+03     9.42530e+02     2.38493e+02
    1.82001e-01     5.14151e+03     9.23279e+02     2.32788e+02
    1.86092e-01     5.07022e+03     8.98405e+02     2.25639e+02
    1.90161e-01     4.97595e+03     8.72035e+02     2.18729e+02
    1.94237e-01     4.94655e+03     8.67971e+02     2.17173e+02
    1.98334e-01     4.78956e+03     8.25776e+02     2.06341e+02
    2.02427e-01     4.69228e+03     8.00873e+02     1.99520e+02
    2.06523e-01     4.59788e+03     7.78081e+02     1.93512e+02
    2.10626e-01     4.39609e+03     7.28457e+02     1.82002e+02
    2.14724e-01     4.37431e+03     7.16605e+02     1.75915e+02
    2.18827e-01     4.29381e+03     6.91844e+02     1.69454e+02
    2.22903e-01     4.12920e+03     6.52304e+02     1.60830e+02
    2.26990e-01     4.09071e+03     6.45945e+02     1.58272e+02
    2.31084e-01     3.99751e+03     6.18719e+02     1.51943e+02
    2.35153e-01     3.97085e+03     6.11276e+02     1.48120e+02
    2.39244e-01     3.87495e+03     5.90689e+02     1.44415e+02
    2.43338e-01     3.80834e+03     5.75746e+02     1.40197e+02
    2.47445e-01     3.75789e+03     5.64595e+02     1.36381e+02
    2.51539e-01     3.71716e+03     5.55336e+02     1.34439e+02
    2.55609e-01     3.67967e+03     5.40901e+02     1.29992e+02
    2.59718e-01     3.60508e+03     5.23963e+02     1.26020e+02
    2.63814e-01     3.54494e+03     5.08051e+02     1.22534e+02
    2.67904e-01     3.51568e+03     5.01435e+02     1.20041e+02
    2.71993e-01     3.47376e+03     4.92155e+02     1.17880e+02
    2.76068e-01     3.36869e+03     4.70505e+02     1.13168e+02
    2.80171e-01     3.34703e+03     4.58387e+02     1.08791e+02
    2.84268e-01     3.28227e+03     4.45845e+02     1.05616e+02
    2.88346e-01     3.25491e+03     4.38963e+02     1.03919e+02
    2.92426e-01     3.21281e+03     4.26627e+02     1.01133e+02
    2.96514e-01     3.16816e+03     4.16310e+02     9.84231e+01
    3.00627e-01     3.11273e+03     4.06503e+02     9.58504e+01
    3.04729e-01     3.10089e+03     4.00296e+02     9.38561e+01
    3.08821e-01     3.06452e+03     3.90588e+02     9.13033e+01
    3.12919e-01     3.02587e+03     3.85771e+02     9.03571e+01
    3.16999e-01     3.03681e+03     3.81288e+02     8.82764e+01
    3.21078e-01     2.98861e+03     3.72342e+02     8.61565e+01
    3.25167e-01     2.93225e+03     3.59549e+02     8.35028e+01
    3.29247e-01     2.90437e+03     3.54261e+02     8.19892e+01
    3.33333e-01     2.87566e+03     3.48575e+02     8.05280e+01
    3.37443e-01     2.83743e+03     3.39013e+02     7.81314e+01
    3.41545e-01     2.81195e+03     3.30875e+02     7.61846e+01
    3.45625e-01     2.79058e+03     3.26072e+02     7.48963e+01
    3.49715e-01     2.75648e+03     3.19539e+02     7.28625e+01
    3.53817e-01     2.75390e+03     3.14356e+02     7.14273e+01
    3.57906e-01     2.70835e+03     3.07205e+02     6.98535e+01
    3.61975e-01     2.69917e+03     3.04538e+02     6.87273e+01
    3.66071e-01     2.65117e+03     2.96383e+02     6.67889e+01
    3.70189e-01     2.62394e+03     2.90216e+02     6.58837e+01
    3.74277e-01     2.61845e+03     2.86510e+02     6.42511e+01
    3.78356e-01     2.60398e+03     2.82205e+02     6.30292e+01
    3.82448e-01     2.58186e+03     2.76962e+02     6.20047e+01
    3.86535e-01     2.56348e+03     2.72947e+02     6.08526e+01
    3.90624e-01     2.55507e+03     2.69913e+02     5.98328e+01
    3.94706e-01     2.51425e+03     2.63358e+02     5.83856e+01
    3.98794e-01     2.49686e+03     2.59014e+02     5.75722e+01
    4.02896e-01     2.48336e+03     2.54999e+02     5.61132e+01
    4.06986e-01     2.46141e+03     2.50913e+02     5.51386e+01
    4.11069e-01     2.43472e+03     2.44957e+02     5.38230e+01
    4.15170e-01     2.41010e+03     2.40840e+02     5.30355e+01
    4.19263e-01     2.38948e+03     2.37040e+02     5.20573e+01
    4.23353e-01     2.39825e+03     2.35747e+02     5.14339e+01
    4.27447e-01     2.38477e+03     2.32501e+02     5.05436e+01
    4.31534e-01     2.34271e+03     2.25956e+02     4.91366e+01
    4.35624e-01     2.33834e+03     2.24422e+02     4.88403e+01
    4.39718e-01     2.33458e+03     2.21141e+02     4.77958e+01
    4.43804e-01     2.28283e+03     2.14322e+02     4.65252e+01
    4.47892e-01     2.29355e+03     2.14740e+02     4.62193e+01
    4.51977e-01     2.28526e+03     2.12063e+02     4.54599e+01
    4.56067e-01     2.25833e+03     2.07744e+02     4.46790e+01
    4.60165e-01     2.26336e+03     2.06356e+02     4.40267e+01
    4.64260e-01     2.23205e+03     2.00883e+02     4.31122e+01
    4.68355e-01     2.22425e+03     1.99083e+02     4.25463e+01
    4.72450e-01     2.20864e+03     1.96419e+02     4.18307e+01
    4.76540e-01     2.19683e+03     1.94112e+02     4.11594e+01
    4.80633e-01     2.17882e+03     1.90075e+02     4.03326e+01
    4.84718e-01     2.17908e+03     1.89213e+02     3.99418e+01
    4.88794e-01     2.16007e+03     1.86147e+02     3.92846e+01
    4.92888e-01     2.14359e+03     1.83896e+02     3.86601e+01
    4.96984e-01     2.13004e+03     1.79329e+02     3.78048e+01
    5.01073e-01     2.12491e+03     1.78585e+02     3.74816e+01
    5.05169e-01     2.10399e+03     1.75812e+02     3.67480e+01
    5.09268e-01     2.09761e+03     1.73413e+02     3.62944e+01
    5.13369e-01     2.08929e+03     1.72091e+02     3.56448e+01
    5.17441e-01     2.08596e+03     1.70529e+02     3.53111e+01
    5.21516e-01     2.07513e+03     1.68801e+02     3.49177e+01
    5.25611e-01     2.06416e+03     1.65274e+02     3.40677e+01
    5.29706e-01     2.05889e+03     1.63639e+02     3.36832e+01
    5.33801e-01     2.03845e+03     1.61039e+02     3.32070e+01
    5.37888e-01     2.02710e+03     1.59840e+02     3.28839e+01
    5.41985e-01     2.01709e+03     1.58061e+02     3.22639e+01
    5.46091e-01     2.00528e+03     1.55441e+02     3.18300e+01
    5.50174e-01     2.01498e+03     1.54977e+02     3.14989e+01
    5.54252e-01     1.99154e+03     1.52033e+02     3.09227e+01
    5.58346e-01     1.98133e+03     1.50424e+02     3.06549e+01
    5.62439e-01     1.98232e+03     1.49207e+02     3.01889e+01
