# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.02026e+04     7.89006e+03
    1.04717e-02     1.90994e+04     1.42252e+04
    1.42665e-02     2.26442e+04     1.83471e+04
    1.81228e-02     2.24649e+04     1.71930e+04
    2.24845e-02     2.07462e+04     1.57541e+04
    2.64508e-02     1.95141e+04     1.52393e+04
    3.04474e-02     1.85411e+04     1.39057e+04
    3.47320e-02     1.70277e+04     1.26892e+04
    3.88308e-02     1.49362e+04     1.10525e+04
    4.28140e-02     1.35979e+04     9.95609e+03
    4.68856e-02     1.38148e+04     1.00308e+04
    5.09858e-02     1.24840e+04     9.13227e+03
    5.51458e-02     1.09899e+04     7.75592e+03
    5.92243e-02     1.14944e+04     8.27221e+03
    6.32864e-02     1.03604e+04     7.42158e+03
    6.73674e-02     1.00844e+04     7.10960e+03
    7.14960e-02     9.18102e+03     6.44769e+03
    7.55894e-02     8.97285e+03     6.25253e+03
    7.96660e-02     8.73431e+03     5.96237e+03
    8.38183e-02     7.98642e+03     5.42908e+03
    8.78941e-02     7.39916e+03     4.92071e+03
    9.19238e-02     7.13391e+03     4.73221e+03
    9.60446e-02     6.73534e+03     4.42459e+03
    1.00128e-01     6.13402e+03     3.93266e+03
    1.04209e-01     5.76427e+03     3.65615e+03
    1.08333e-01     5.53820e+03     3.44044e+03
    1.12448e-01     5.48754e+03     3.42951e+03
    1.16521e-01     5.26211e+03     3.25673e+03
    1.20596e-01     5.10676e+03     3.10791e+03
    1.24665e-01     5.00713e+03     3.02681e+03
    1.28771e-01     4.94912e+03     2.98118e+03
    1.32874e-01     4.78943e+03     2.87070e+03
    1.36975e-01     4.70451e+03     2.77427e+03
    1.41075e-01     4.40145e+03     2.55395e+03
    1.45172e-01     4.32115e+03     2.48553e+03
    1.49268e-01     4.02620e+03     2.29613e+03
    1.53330e-01     4.03620e+03     2.22646e+03
    1.57416e-01     3.87874e+03     2.14050e+03
    1.61514e-01     3.69136e+03     2.01778e+03
    1.65592e-01     3.59579e+03     1.91148e+03
    1.69693e-01     3.43595e+03     1.81717e+03
    1.73803e-01     3.42835e+03     1.79009e+03
    1.77905e-01     3.37078e+03     1.75936e+03
    1.82001e-01     3.31820e+03     1.71687e+03
    1.86092e-01     3.22264e+03     1.65503e+03
    1.90161e-01     3.18708e+03     1.59901e+03
    1.94237e-01     3.13011e+03     1.56618e+03
    1.98334e-01     3.05509e+03     1.50562e+03
    2.02427e-01     2.96355e+03     1.44851e+03
    2.06523e-01     2.91734e+03     1.41560e+03
