# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=2.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     3.03169e+04     4.29923e+03     8.98934e+03     1.37456e+03
    1.04717e-02     3.91412e+04     2.41246e+03     1.15654e+04     7.04442e+02
    1.42665e-02     4.65150e+04     2.33238e+03     1.37490e+04     6.17519e+02
    1.81228e-02     4.83918e+04     2.48561e+03     1.44078e+04     8.23420e+02
    2.24845e-02     4.50362e+04     8.84375e+02     1.33020e+04     2.95497e+02
    2.64508e-02     4.17041e+04     6.33480e+02     1.21212e+04     1.54962e+02
    3.04474e-02     3.76248e+04     8.72522e+02     1.10444e+04     2.71427e+02
    3.47320e-02     3.36750e+04     7.42964e+02     9.77462e+03     2.69147e+02
    3.88308e-02     3.04114e+04     2.99916e+02     8.75589e+03     1.18628e+02
    4.28140e-02     2.85501e+04     4.69850e+02     8.10581e+03     1.21614e+02
    4.68856e-02     2.64412e+04     4.11546e+02     7.44520e+03     1.30771e+02
    5.09858e-02     2.51166e+04     3.23024e+02     7.00235e+03     1.05299e+02
    5.51458e-02     2.38338e+04     2.60039e+02     6.58669e+03     8.79017e+01
    5.92243e-02     2.31881e+04     1.45479e+02     6.35848e+03     6.60131e+01
    6.32864e-02     2.18332e+04     1.08392e+02     5.99367e+03     3.55224e+01
    6.73674e-02     2.10887e+04     2.79875e+02     5.72772e+03     8.64215e+01
    7.14960e-02     2.00540e+04     1.42164e+02     5.38070e+03     4.96445e+01
    7.55894e-02     1.91133e+04     1.41310e+02     5.11085e+03     2.31604e+01
    7.96660e-02     1.79402e+04     1.31787e+02     4.73071e+03     4.98164e+01
    8.38183e-02     1.68422e+04     1.03510e+02     4.40155e+03     3.48032e+01
    8.78941e-02     1.56529e+04     1.46386e+02     4.01674e+03     3.84511e+01
    9.19238e-02     1.47365e+04     7.25593e+01     3.73419e+03     2.44582e+01
    9.60446e-02     1.38269e+04     8.44411e+01     3.44165e+03     2.64509e+01
    1.00128e-01     1.31175e+04     1.11349e+02     3.21453e+03     2.29918e+01
    1.04209e-01     1.24380e+04     1.26529e+02     3.00900e+03     2.91656e+01
    1.08333e-01     1.19187e+04     6.53095e+01     2.84512e+03     1.46475e+01
    1.12448e-01     1.17128e+04     3.44089e+01     2.76740e+03     1.71150e+01
    1.16521e-01     1.14314e+04     5.41404e+01     2.68812e+03     1.48713e+01
    1.20596e-01     1.11122e+04     3.91005e+01     2.58906e+03     1.04856e+01
    1.24665e-01     1.08288e+04     7.12581e+01     2.49683e+03     2.06802e+01
    1.28771e-01     1.07039e+04     1.69192e+01     2.44740e+03     5.87445e+00
    1.32874e-01     1.04629e+04     5.12492e+01     2.37992e+03     7.95938e+00
    1.36975e-01     1.00868e+04     5.24564e+01     2.26453e+03     1.88318e+01
    1.41075e-01     9.78180e+03     3.51218e+01     2.15834e+03     1.30124e+01
    1.45172e-01     9.33547e+03     2.36303e+01     2.02800e+03     9.81638e+00
    1.49268e-01     8.99490e+03     4.84541e+01     1.91484e+03     9.77004e+00
    1.53330e-01     8.72552e+03     1.98334e+01     1.83390e+03     4.08015e+00
    1.57416e-01     8.35728e+03     2.27114e+01     1.72626e+03     3.22609e+00
    1.61514e-01     8.12543e+03     2.46651e+01     1.65017e+03     9.50835e+00
    1.65592e-01     7.94406e+03     3.21279e+01     1.59163e+03     5.48661e+00
    1.69693e-01     7.67327e+03     2.68011e+01     1.51533e+03     7.80762e+00
    1.73803e-01     7.57914e+03     2.20689e+01     1.47752e+03     3.93069e+00
    1.77905e-01     7.46053e+03     1.30118e+01     1.44407e+03     2.76735e+00
    1.82001e-01     7.30177e+03     1.63071e+01     1.40197e+03     3.76563e+00
    1.86092e-01     7.21369e+03     2.94987e+01     1.37111e+03     4.46458e+00
    1.90161e-01     7.11185e+03     1.34864e+01     1.34041e+03     3.86090e+00
    1.94237e-01     6.96021e+03     5.07435e+01     1.29742e+03     1.03289e+01
    1.98334e-01     6.86940e+03     1.57326e+01     1.26167e+03     2.86002e+00
    2.02427e-01     6.73591e+03     1.21305e+01     1.22477e+03     3.06837e+00
    2.06523e-01     6.61129e+03     1.54544e+01     1.18518e+03     3.83682e+00
    2.10626e-01     6.44330e+03     2.37198e+01     1.13733e+03     3.20528e+00
    2.14724e-01     6.30433e+03     2.18477e+01     1.09738e+03     3.27251e+00
    2.18827e-01     6.20782e+03     1.60918e+01     1.06189e+03     3.50219e+00
    2.22903e-01     6.07505e+03     9.68522e+00     1.02147e+03     2.46300e+00
    2.26990e-01     5.97924e+03     1.97429e+01     9.97204e+02     3.45102e+00
    2.31084e-01     5.84501e+03     1.22286e+01     9.60598e+02     4.56610e+00
    2.35153e-01     5.78876e+03     1.87624e+01     9.36328e+02     3.69303e+00
    2.39244e-01     5.71197e+03     1.16787e+01     9.18633e+02     1.43872e+00
    2.43338e-01     5.64533e+03     1.52945e+01     8.98232e+02     1.41254e+00
    2.47445e-01     5.57128e+03     1.85404e+01     8.77711e+02     2.13613e+00
    2.51539e-01     5.53194e+03     1.51245e+01     8.61773e+02     1.26087e+00
    2.55609e-01     5.45021e+03     8.03147e+00     8.40554e+02     1.57000e+00
    2.59718e-01     5.42350e+03     1.48540e+01     8.28171e+02     2.37013e+00
    2.63814e-01     5.32565e+03     7.07806e+00     8.03970e+02     1.72067e+00
    2.67904e-01     5.25684e+03     7.89126e+00     7.84004e+02     2.26541e+00
    2.71993e-01     5.18839e+03     7.28662e+00     7.66038e+02     1.20342e+00
    2.76068e-01     5.12509e+03     6.91594e+00     7.43899e+02     2.59604e+00
    2.80171e-01     5.04801e+03     9.19292e+00     7.25497e+02     2.31297e+00
