# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 2.5164e+04 2.2451e+04
1.0472e-02 2.3790e+04 2.1311e+04
1.4266e-02 3.1991e+04 2.7251e+04
1.8123e-02 2.7065e+04 2.3255e+04
2.2484e-02 3.0982e+04 2.6322e+04
2.6451e-02 2.8415e+04 2.4111e+04
3.0447e-02 2.7212e+04 2.2980e+04
3.4732e-02 2.2030e+04 1.8666e+04
3.8831e-02 2.2384e+04 1.8717e+04
4.2814e-02 1.9664e+04 1.6416e+04
4.6886e-02 1.8199e+04 1.5045e+04
5.0986e-02 1.7084e+04 1.4079e+04
5.5146e-02 1.6131e+04 1.3241e+04
5.9224e-02 1.5749e+04 1.2925e+04
6.3286e-02 1.4809e+04 1.2088e+04
6.7367e-02 1.3659e+04 1.1160e+04
7.1496e-02 1.2755e+04 1.0439e+04
7.5589e-02 1.2606e+04 1.0260e+04
7.9666e-02 1.1873e+04 9.6733e+03
8.3818e-02 1.0893e+04 8.8390e+03
8.7894e-02 9.8364e+03 7.9805e+03
9.1924e-02 8.9405e+03 7.1353e+03
9.6045e-02 8.5434e+03 6.8037e+03
1.0013e-01 8.2891e+03 6.5688e+03
1.0421e-01 7.5633e+03 5.9853e+03
1.0833e-01 7.3934e+03 5.8375e+03
1.1245e-01 7.0190e+03 5.5265e+03
1.1652e-01 6.9940e+03 5.5021e+03
1.2060e-01 6.4859e+03 5.0593e+03
1.2466e-01 6.2631e+03 4.8828e+03
1.2877e-01 6.2751e+03 4.8939e+03
1.3287e-01 6.1736e+03 4.8177e+03
1.3698e-01 5.7116e+03 4.4270e+03
1.4107e-01 5.6446e+03 4.3714e+03
1.4517e-01 5.1672e+03 3.9837e+03
1.4927e-01 5.0240e+03 3.8612e+03
1.5333e-01 4.8547e+03 3.7083e+03
1.5742e-01 4.6732e+03 3.5565e+03
1.6151e-01 4.4772e+03 3.3876e+03
1.6559e-01 4.3601e+03 3.3092e+03
1.6969e-01 4.2260e+03 3.1700e+03
1.7380e-01 4.0566e+03 3.0404e+03
1.7790e-01 3.9825e+03 2.9788e+03
1.8200e-01 3.8754e+03 2.8877e+03
1.8609e-01 3.7653e+03 2.8078e+03
1.9016e-01 3.6826e+03 2.7380e+03
1.9424e-01 3.6221e+03 2.6743e+03
1.9833e-01 3.4601e+03 2.5599e+03
2.0243e-01 3.3790e+03 2.4884e+03
2.0652e-01 3.4204e+03 2.5036e+03
2.1063e-01 3.2575e+03 2.3850e+03
2.1472e-01 3.1727e+03 2.3089e+03
2.1883e-01 3.0926e+03 2.2489e+03
2.2290e-01 2.9936e+03 2.1677e+03
2.2699e-01 2.9347e+03 2.1326e+03
2.3108e-01 2.8703e+03 2.0636e+03
2.3515e-01 2.7891e+03 2.0001e+03
2.3924e-01 2.7616e+03 1.9627e+03
2.4334e-01 2.6847e+03 1.9156e+03
2.4744e-01 2.6433e+03 1.8825e+03
2.5154e-01 2.5654e+03 1.8250e+03
2.5561e-01 2.5489e+03 1.8105e+03
2.5972e-01 2.5134e+03 1.7706e+03
2.6381e-01 2.4869e+03 1.7527e+03
2.6790e-01 2.4130e+03 1.6917e+03
2.7199e-01 2.3732e+03 1.6584e+03
2.7607e-01 2.3338e+03 1.6256e+03
2.8017e-01 2.3185e+03 1.6104e+03
2.8427e-01 2.2743e+03 1.5788e+03
2.8835e-01 2.2414e+03 1.5495e+03
2.9243e-01 2.1975e+03 1.5162e+03
2.9651e-01 2.1520e+03 1.4801e+03
3.0063e-01 2.1284e+03 1.4587e+03
3.0473e-01 2.0922e+03 1.4300e+03
3.0882e-01 2.0573e+03 1.4032e+03
3.1292e-01 2.0185e+03 1.3734e+03
3.1700e-01 2.0175e+03 1.3619e+03
3.2108e-01 1.9790e+03 1.3393e+03
3.2517e-01 1.9678e+03 1.3242e+03
3.2925e-01 1.9202e+03 1.2859e+03
3.3333e-01 1.9084e+03 1.2775e+03
3.3744e-01 1.8964e+03 1.2649e+03
3.4154e-01 1.8608e+03 1.2391e+03
3.4562e-01 1.8346e+03 1.2167e+03
3.4972e-01 1.8141e+03 1.2016e+03
3.5382e-01 1.7978e+03 1.1886e+03
3.5791e-01 1.7884e+03 1.1794e+03
3.6198e-01 1.7608e+03 1.1607e+03
3.6607e-01 1.7151e+03 1.1276e+03
3.7019e-01 1.7080e+03 1.1176e+03
3.7428e-01 1.6947e+03 1.1024e+03
3.7836e-01 1.6764e+03 1.0915e+03
3.8245e-01 1.6536e+03 1.0737e+03
3.8653e-01 1.6389e+03 1.0637e+03
3.9062e-01 1.6287e+03 1.0519e+03
3.9471e-01 1.6019e+03 1.0322e+03
3.9879e-01 1.5985e+03 1.0228e+03
4.0290e-01 1.5760e+03 1.0062e+03
4.0699e-01 1.5665e+03 9.9754e+02
4.1107e-01 1.5576e+03 9.9170e+02
4.1517e-01 1.5317e+03 9.6897e+02
4.1926e-01 1.5169e+03 9.6255e+02
4.2335e-01 1.5025e+03 9.5047e+02
4.2745e-01 1.5000e+03 9.4412e+02
4.3153e-01 1.4743e+03 9.2489e+02
4.3562e-01 1.4773e+03 9.2761e+02
4.3972e-01 1.4484e+03 9.0343e+02
4.4380e-01 1.4446e+03 8.9774e+02
4.4789e-01 1.4296e+03 8.8940e+02
